cod_divipola,municipio,departamento,tipo,lon,lat
13300,HATILLO DE LOBA,BOLÍVAR,Municipio,-74.077912,8.956014
13430,MAGANGUÉ,BOLÍVAR,Municipio,-74.766742,9.263799
13433,MAHATES,BOLÍVAR,Municipio,-75.191643,10.233285
13440,MARGARITA,BOLÍVAR,Municipio,-74.285137,9.15784
13442,MARÍA LA BAJA,BOLÍVAR,Municipio,-75.300516,9.982402
13458,MONTECRISTO,BOLÍVAR,Municipio,-74.471176,8.297234
13468,SANTA CRUZ DE MOMPOX,BOLÍVAR,Municipio,-74.42818,9.244241
13473,MORALES,BOLÍVAR,Municipio,-73.868172,8.276558
13490,NOROSÍ,BOLÍVAR,Municipio,-74.038003,8.526259
13549,PINILLOS,BOLÍVAR,Municipio,-74.462279,8.914947
13580,REGIDOR,BOLÍVAR,Municipio,-73.821638,8.666258
13600,RÍO VIEJO,BOLÍVAR,Municipio,-73.840466,8.58795
13620,SAN CRISTÓBAL,BOLÍVAR,Municipio,-75.065076,10.392836
13647,SAN ESTANISLAO,BOLÍVAR,Municipio,-75.153101,10.398602
13650,SAN FERNANDO,BOLÍVAR,Municipio,-74.323811,9.214183
13654,SAN JACINTO,BOLÍVAR,Municipio,-75.12105,9.830275
13655,SAN JACINTO DEL CAUCA,BOLÍVAR,Municipio,-74.721156,8.25158
13657,SAN JUAN NEPOMUCENO,BOLÍVAR,Municipio,-75.081761,9.953751
13667,SAN MARTÍN DE LOBA,BOLÍVAR,Municipio,-74.039134,8.937485
13670,SAN PABLO,BOLÍVAR,Municipio,-73.924602,7.476747
13673,SANTA CATALINA,BOLÍVAR,Municipio,-75.287855,10.605294
13683,SANTA ROSA,BOLÍVAR,Municipio,-75.369824,10.444396
13688,SANTA ROSA DEL SUR,BOLÍVAR,Municipio,-74.052243,7.963938
13744,SIMITÍ,BOLÍVAR,Municipio,-73.947264,7.953916
13760,SOPLAVIENTO,BOLÍVAR,Municipio,-75.136404,10.38839
13780,TALAIGUA NUEVO,BOLÍVAR,Municipio,-74.567479,9.30403
13810,TIQUISIO,BOLÍVAR,Municipio,-74.262922,8.558666
13836,TURBACO,BOLÍVAR,Municipio,-75.427249,10.348316
13838,TURBANÁ,BOLÍVAR,Municipio,-75.44265,10.274585
13873,VILLANUEVA,BOLÍVAR,Municipio,-75.275613,10.444089
13894,ZAMBRANO,BOLÍVAR,Municipio,-74.817879,9.746306
15001,TUNJA,BOYACÁ,Municipio,-73.355539,5.53988
15022,ALMEIDA,BOYACÁ,Municipio,-73.378933,4.970857
15047,AQUITANIA,BOYACÁ,Municipio,-72.88399,5.518602
15051,ARCABUCO,BOYACÁ,Municipio,-73.437503,5.755673
15087,BELÉN,BOYACÁ,Municipio,-72.911641,5.98923
15090,BERBEO,BOYACÁ,Municipio,-73.12721,5.227451
15092,BETÉITIVA,BOYACÁ,Municipio,-72.809014,5.909978
15097,BOAVITA,BOYACÁ,Municipio,-72.584905,6.330703
15104,BOYACÁ,BOYACÁ,Municipio,-73.361945,5.454578
15106,BRICEÑO,BOYACÁ,Municipio,-73.92326,5.690879
15109,BUENAVISTA,BOYACÁ,Municipio,-73.94217,5.512594
15114,BUSBANZÁ,BOYACÁ,Municipio,-72.884158,5.831393
15131,CALDAS,BOYACÁ,Municipio,-73.865553,5.55458
15135,CAMPOHERMOSO,BOYACÁ,Municipio,-73.104173,5.031676
15162,CERINZA,BOYACÁ,Municipio,-72.947918,5.955939
15172,CHINAVITA,BOYACÁ,Municipio,-73.368476,5.167486
15176,CHIQUINQUIRÁ,BOYACÁ,Municipio,-73.818745,5.61379
15180,CHISCAS,BOYACÁ,Municipio,-72.500957,6.553136
15183,CHITA,BOYACÁ,Municipio,-72.471892,6.187083
15185,CHITARAQUE,BOYACÁ,Municipio,-73.4471,6.027425
15187,CHIVATÁ,BOYACÁ,Municipio,-73.282529,5.558949
15189,CIÉNEGA,BOYACÁ,Municipio,-73.296049,5.408694
15204,CÓMBITA,BOYACÁ,Municipio,-73.323957,5.634545
15212,COPER,BOYACÁ,Municipio,-74.045636,5.475074
15215,CORRALES,BOYACÁ,Municipio,-72.844795,5.828064
15218,COVARACHÍA,BOYACÁ,Municipio,-72.738978,6.500177
15223,CUBARÁ,BOYACÁ,Municipio,-72.107939,6.997275
15224,CUCAITA,BOYACÁ,Municipio,-73.454338,5.544452
15226,CUÍTIVA,BOYACÁ,Municipio,-72.965923,5.580367
15232,CHÍQUIZA,BOYACÁ,Municipio,-73.449463,5.639834
15236,CHIVOR,BOYACÁ,Municipio,-73.368398,4.888173
15238,DUITAMA,BOYACÁ,Municipio,-73.03063,5.822964
15244,EL COCUY,BOYACÁ,Municipio,-72.444537,6.407738
15248,EL ESPINO,BOYACÁ,Municipio,-72.497007,6.483027
15272,FIRAVITOBA,BOYACÁ,Municipio,-72.993392,5.668885
15276,FLORESTA,BOYACÁ,Municipio,-72.918111,5.859519
15293,GACHANTIVÁ,BOYACÁ,Municipio,-73.549092,5.751891
15296,GÁMEZA,BOYACÁ,Municipio,-72.80553,5.802333
15299,GARAGOA,BOYACÁ,Municipio,-73.364413,5.083234
15317,GUACAMAYAS,BOYACÁ,Municipio,-72.500812,6.459667
15322,GUATEQUE,BOYACÁ,Municipio,-73.471207,5.007321
15325,GUAYATÁ,BOYACÁ,Municipio,-73.489698,4.967122
15332,GÜICÁN DE LA SIERRA,BOYACÁ,Municipio,-72.411763,6.462864
15362,IZA,BOYACÁ,Municipio,-72.979559,5.611577
15367,JENESANO,BOYACÁ,Municipio,-73.363738,5.385813
15368,JERICÓ,BOYACÁ,Municipio,-72.571122,6.145735
15377,LABRANZAGRANDE,BOYACÁ,Municipio,-72.57777,5.562687
15380,LA CAPILLA,BOYACÁ,Municipio,-73.444347,5.095687
15401,LA VICTORIA,BOYACÁ,Municipio,-74.234393,5.523792
15403,LA UVITA,BOYACÁ,Municipio,-72.559982,6.31616
15407,VILLA DE LEYVA,BOYACÁ,Municipio,-73.524948,5.632455
15425,MACANAL,BOYACÁ,Municipio,-73.319593,4.972464
15442,MARIPÍ,BOYACÁ,Municipio,-74.00405,5.550091
15455,MIRAFLORES,BOYACÁ,Municipio,-73.14563,5.196515
15464,MONGUA,BOYACÁ,Municipio,-72.79809,5.754242
15466,MONGUÍ,BOYACÁ,Municipio,-72.849292,5.723486
15469,MONIQUIRÁ,BOYACÁ,Municipio,-73.573374,5.876331
15476,MOTAVITA,BOYACÁ,Municipio,-73.367841,5.5777
15480,MUZO,BOYACÁ,Municipio,-74.10269,5.532758
15491,NOBSA,BOYACÁ,Municipio,-72.937042,5.768046
15494,NUEVO COLÓN,BOYACÁ,Municipio,-73.456759,5.355317
15500,OICATÁ,BOYACÁ,Municipio,-73.308399,5.595235
15507,OTANCHE,BOYACÁ,Municipio,-74.180965,5.657536
15511,PACHAVITA,BOYACÁ,Municipio,-73.396953,5.140065
15514,PÁEZ,BOYACÁ,Municipio,-73.052737,5.097319
15516,PAIPA,BOYACÁ,Municipio,-73.11782,5.779894
15518,PAJARITO,BOYACÁ,Municipio,-72.703231,5.293783
15522,PANQUEBA,BOYACÁ,Municipio,-72.459424,6.443416
15531,PAUNA,BOYACÁ,Municipio,-73.978449,5.656323
15533,PAYA,BOYACÁ,Municipio,-72.423775,5.625699
15537,PAZ DE RÍO,BOYACÁ,Municipio,-72.749137,5.987645
15542,PESCA,BOYACÁ,Municipio,-73.050872,5.558808
15550,PISBA,BOYACÁ,Municipio,-72.486023,5.72141
15572,PUERTO BOYACÁ,BOYACÁ,Municipio,-74.587782,5.976646
15580,QUÍPAMA,BOYACÁ,Municipio,-74.180033,5.52055
15599,RAMIRIQUÍ,BOYACÁ,Municipio,-73.334839,5.400303
15600,RÁQUIRA,BOYACÁ,Municipio,-73.632543,5.539136
15621,RONDÓN,BOYACÁ,Municipio,-73.208474,5.357378
15632,SABOYÁ,BOYACÁ,Municipio,-73.764456,5.697756
15638,SÁCHICA,BOYACÁ,Municipio,-73.542539,5.584305
15646,SAMACÁ,BOYACÁ,Municipio,-73.485589,5.492161
15660,SAN EDUARDO,BOYACÁ,Municipio,-73.077747,5.22401
15664,SAN JOSÉ DE PARE,BOYACÁ,Municipio,-73.545397,6.018924
15667,SAN LUIS DE GACENO,BOYACÁ,Municipio,-73.168076,4.81976
15673,SAN MATEO,BOYACÁ,Municipio,-72.555264,6.401683
15676,SAN MIGUEL DE SEMA,BOYACÁ,Municipio,-73.722009,5.518083
15681,SAN PABLO DE BORBUR,BOYACÁ,Municipio,-74.069963,5.650743
15686,SANTANA,BOYACÁ,Municipio,-73.481639,6.056866
15690,SANTA MARÍA,BOYACÁ,Municipio,-73.263518,4.857193
15693,SANTA ROSA DE VITERBO,BOYACÁ,Municipio,-72.982461,5.874547
15696,SANTA SOFÍA,BOYACÁ,Municipio,-73.602707,5.713269
15720,SATIVANORTE,BOYACÁ,Municipio,-72.708458,6.131132
15723,SATIVASUR,BOYACÁ,Municipio,-72.712435,6.093183
15740,SIACHOQUE,BOYACÁ,Municipio,-73.24466,5.511811
15753,SOATÁ,BOYACÁ,Municipio,-72.684051,6.331945
15755,SOCOTÁ,BOYACÁ,Municipio,-72.636653,6.041162
15757,SOCHA,BOYACÁ,Municipio,-72.691963,5.996717
15759,SOGAMOSO,BOYACÁ,Municipio,-72.924355,5.723976
15761,SOMONDOCO,BOYACÁ,Municipio,-73.433393,4.985726
15762,SORA,BOYACÁ,Municipio,-73.450153,5.56684
15763,SOTAQUIRÁ,BOYACÁ,Municipio,-73.246585,5.764986
15764,SORACÁ,BOYACÁ,Municipio,-73.332804,5.500898
15774,SUSACÓN,BOYACÁ,Municipio,-72.690289,6.230332
15776,SUTAMARCHÁN,BOYACÁ,Municipio,-73.620536,5.619781
15778,SUTATENZA,BOYACÁ,Municipio,-73.452317,5.022989
15790,TASCO,BOYACÁ,Municipio,-72.781011,5.909821
15798,TENZA,BOYACÁ,Municipio,-73.421176,5.076781
15804,TIBANÁ,BOYACÁ,Municipio,-73.396457,5.317251
15806,TIBASOSA,BOYACÁ,Municipio,-72.999449,5.74723
15808,TINJACÁ,BOYACÁ,Municipio,-73.646847,5.579713
15810,TIPACOQUE,BOYACÁ,Municipio,-72.691729,6.419203
15814,TOCA,BOYACÁ,Municipio,-73.184794,5.566464
15816,TOGÜÍ,BOYACÁ,Municipio,-73.513655,5.937438
15820,TÓPAGA,BOYACÁ,Municipio,-72.832245,5.768201
15822,TOTA,BOYACÁ,Municipio,-72.985898,5.560497
15832,TUNUNGUÁ,BOYACÁ,Municipio,-73.933155,5.730582
15835,TURMEQUÉ,BOYACÁ,Municipio,-73.491825,5.323261
15837,TUTA,BOYACÁ,Municipio,-73.230285,5.689082
15839,TUTAZÁ,BOYACÁ,Municipio,-72.856035,6.032608
15842,ÚMBITA,BOYACÁ,Municipio,-73.456917,5.221176
15861,VENTAQUEMADA,BOYACÁ,Municipio,-73.522368,5.368739
15879,VIRACACHÁ,BOYACÁ,Municipio,-73.296894,5.436833
15897,ZETAQUIRA,BOYACÁ,Municipio,-73.17098,5.283443
17001,MANIZALES,CALDAS,Municipio,-75.491025,5.057657
17013,AGUADAS,CALDAS,Municipio,-75.45487,5.610244
17042,ANSERMA,CALDAS,Municipio,-75.784343,5.236471
17050,ARANZAZU,CALDAS,Municipio,-75.49129,5.271195
17088,BELALCÁZAR,CALDAS,Municipio,-75.811918,4.993785
17174,CHINCHINÁ,CALDAS,Municipio,-75.607529,4.985227
17272,FILADELFIA,CALDAS,Municipio,-75.562474,5.297091
17380,LA DORADA,CALDAS,Municipio,-74.668819,5.460834
17388,LA MERCED,CALDAS,Municipio,-75.546486,5.39647
17433,MANZANARES,CALDAS,Municipio,-75.152829,5.255699
17442,MARMATO,CALDAS,Municipio,-75.600049,5.47422
17444,MARQUETALIA,CALDAS,Municipio,-75.053097,5.297525
17446,MARULANDA,CALDAS,Municipio,-75.259721,5.284304
17486,NEIRA,CALDAS,Municipio,-75.520006,5.166895
17495,NORCASIA,CALDAS,Municipio,-74.889543,5.574796
17513,PÁCORA,CALDAS,Municipio,-75.459621,5.527172
17524,PALESTINA,CALDAS,Municipio,-75.624577,5.017879
